x;y;theta
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
-1.5343e-06;-9.15919e-08;-6.10613e-08
-1.5343e-06;-9.15919e-08;-6.10613e-08
7.05778e-05;4.21333e-06;2.80882e-06
0.00046029;2.74818e-05;1.83184e-05
0.000785561;4.69074e-05;3.12634e-05
0.00181814;0.000108602;7.23576e-05
0.00256841;0.000153456;0.000102217
0.00374828;0.000224039;0.000149173
0.00497264;0.000297342;0.0001979
0.00620159;0.00037098;0.00024681
0.0114396;0.000685514;0.000455273
0.0156618;0.000939852;0.000623314
0.0197659;0.00118775;0.000786653
0.0233836;0.00140683;0.000930635
0.0263001;0.00158383;0.00104671
0.0317435;0.00191509;0.00126336
0.035068;0.00211799;0.00139568
0.0363521;0.00219648;0.00144679
0.0449986;0.00272669;0.00179093
0.051649;0.00313653;0.00205563
0.0574402;0.00349486;0.00228614
0.0677737;0.00413758;0.00269744
0.0804462;0.0049316;0.00320187
0.0871083;0.0053516;0.00346706
0.0938041;0.00577551;0.00373359
0.0956249;0.00589109;0.00380607
0.112745;0.00698435;0.00448758
0.119774;0.00743666;0.00476742
0.133297;0.00831225;0.00530574
0.141623;0.00885507;0.00563724
0.148289;0.00929159;0.00590261
0.153169;0.00961232;0.00609691
0.158123;0.00993886;0.00629414
0.16577;0.0104448;0.00659859
0.171514;0.0108264;0.00682726
0.182786;0.0115791;0.00727606
0.191723;0.0121796;0.00763193
0.196474;0.0125;0.0078211
0.202015;0.0128749;0.00804171
0.204349;0.0130332;0.00813465
0.209963;0.0134148;0.00835819
0.214302;0.0137235;0.00853951
0.218829;0.0140999;0.00876435
0.223357;0.0145132;0.00901304
0.226807;0.0148459;0.00921389
0.234215;0.0156067;0.00967441
0.242005;0.0165186;0.0102306
0.24764;0.0172146;0.0106554
0.253447;0.0179806;0.0111238
0.261093;0.0190621;0.0117864
0.265696;0.0197524;0.0122098
0.274107;0.0211706;0.0130843
