x;y;theta
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
-1.47145e-06;4.24578e-14;-5.77088e-08
-1.47145e-06;4.24578e-14;-5.77088e-08
6.76867e-05;8.98407e-11;2.65461e-06
0.000441435;3.8212e-09;1.73126e-05
0.000753382;1.11301e-08;2.95469e-05
0.00174367;5.96203e-08;6.83849e-05
0.00246321;1.18978e-07;9.66045e-05
0.00359475;2.53399e-07;0.000140983
0.00476897;4.4598e-07;0.000187034
0.0059476;6.93665e-07;0.000233259
0.0109711;2.36031e-06;0.000430277
0.0150206;4.42424e-06;0.000589091
0.0189567;7.04679e-06;0.000743463
0.0224264;9.86244e-06;0.00087954
0.0252236;1.24761e-05;0.000989244
0.0304443;1.81752e-05;0.001194
0.0336329;2.21818e-05;0.00131905
0.0348645;2.3836e-05;0.00136735
0.0431576;3.65243e-05;0.0016926
0.0495363;4.81188e-05;0.00194277
0.055091;5.95153e-05;0.00216062
0.0650027;8.28571e-05;0.00254934
0.0771583;0.000116744;0.00302608
0.0835487;0.000136882;0.00327671
0.0899716;0.000158737;0.0035286
0.0917182;0.00016496;0.00359711
0.108141;0.000229324;0.00424119
0.114884;0.000258816;0.00450567
0.127857;0.000320565;0.00501443
0.135845;0.000361874;0.00532773
0.14224;0.000396746;0.00557854
0.146922;0.000423296;0.00576217
0.151675;0.000451125;0.00594857
0.159011;0.000495822;0.0062363
0.164522;0.000530783;0.00645242
0.175337;0.00060286;0.00687658
0.183912;0.000663273;0.00721291
0.18847;0.00069656;0.00739169
0.193787;0.000736411;0.00760019
0.196026;0.00075353;0.00768802
0.201413;0.000795514;0.0078993
0.205576;0.000828762;0.00807107
0.209921;0.000864298;0.00828572
0.214268;0.000900828;0.00852405
0.21758;0.000929379;0.00871692
0.224692;0.000992953;0.00916014
0.232173;0.00106349;0.00969771
0.237585;0.00111709;0.0101088
0.243164;0.00117476;0.010563
0.250512;0.00125475;0.0112065
