x;y;theta
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
-1.47145e-06;-8.65632e-08;-5.77088e-08
-1.47145e-06;-8.65632e-08;-5.77088e-08
6.76867e-05;3.982e-06;2.65461e-06
0.000441435;2.59728e-05;1.73126e-05
0.000753381;4.43315e-05;2.95469e-05
0.00174366;0.000102637;6.83849e-05
0.0024632;0.000145026;9.66045e-05
0.00359474;0.000211727;0.000140983
0.00476894;0.000280997;0.000187034
0.00594756;0.000350582;0.000233259
0.010971;0.000647776;0.000430277
0.0150203;0.000888061;0.000589091
0.0189563;0.00112224;0.000743463
0.0224258;0.00132917;0.00087954
0.0252228;0.00149634;0.000989244
0.0304432;0.00180917;0.001194
0.0336316;0.00200076;0.00131905
0.0348631;0.00207486;0.00136735
0.0431554;0.00257542;0.0016926
0.0495335;0.00296227;0.00194277
0.0550875;0.00330044;0.00216062
0.0649978;0.00390687;0.00254934
0.0771514;0.00465585;0.00302608
0.0835407;0.00505193;0.00327671
0.0899623;0.00545163;0.0035286
0.0917085;0.00556061;0.00359711
0.108127;0.00659109;0.00424119
0.114869;0.0070173;0.00450567
0.127838;0.00784218;0.00501443
0.135824;0.00835344;0.00532773
0.142217;0.00876451;0.00557854
0.146897;0.0090665;0.00576217
0.151648;0.00937392;0.00594857
0.158982;0.00985022;0.0062363
0.16449;0.0102093;0.00645242
0.175301;0.0109177;0.00687658
0.183873;0.0114825;0.00721291
0.188429;0.011784;0.00739169
0.193743;0.0121366;0.00760019
0.195982;0.0122855;0.00768802
0.201366;0.0126443;0.0078993
0.205528;0.0129352;0.00807107
0.20987;0.0132927;0.00828572
0.214213;0.0136867;0.00852405
0.217523;0.0140046;0.00871692
0.224629;0.014733;0.00916014
0.232102;0.0156098;0.00969771
0.237508;0.01628;0.0101088
0.24308;0.017019;0.010563
0.250418;0.0180642;0.0112065
0.254836;0.0187322;0.0116182
0.262908;0.0201084;0.0124708
