Steer;Driving
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0.0106141
0.0222427;0
0.0222427;0
0.0222427;0.0106141
0.0222427;0.0106141
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0.0212282
0.0222427;0
0.0222427;0.0106141
0.0222427;0.0106141
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0.0106141
0.0222427;0.0106141
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0227029;0
0.0245437;0
0.0257709;0
0.0265379;0
0.0274583;0
0.0296058;0.0106141
0.0305262;0
0.0317534;0
0.033134;0.0106141
0.0343612;0
0.0371223;0.0106141
0.0391165;0
0.0418777;0
0.0486272;0.0212282
0.0515418;0
0.0605922;0.0212282
0.0641204;0.0106141
0.0668816;0
0.0701029;0
0.0740913;0.0106141
0.075932;0
0.078233;0.0106141
0.0808408;0
0.082068;0.0106141
0.0849825;0.0212282
0.0874369;0.0212282
0.0892777;0
0.0906583;0.0106141
0.0915787;0.0106141
0.0928058;0
0.0941864;0.0106141
0.0952602;0.0106141
0.0964874;0.0106141
0.0980214;0.0212282
0.0992486;0.0106141
0.0992486;0
0.100322;0.0212282
0.100476;0
0.100629;0
0.100629;0
0.100936;0.0212282
0.101089;0
0.101089;0.0106141
0.101089;0.0106141
0.101089;0.0106141
0.101089;0.0106141
0.101089;0.0106141
0.101089;0.0106141
0.101089;0
0.101089;0.0106141
0.101089;0
0.101089;0
0.101089;0.0212282
0.101089;0.0106141
0.101243;0.0212282
0.101243;0.0106141
0.101243;0
0.101243;0.0106141
0.101243;0.0106141
0.101243;0
0.101243;0.0212282
0.101243;0.0212282
0.101243;0.0106141
0.101243;0.0106141
0.101243;0
0.101243;0
0.101243;0.0106141
0.101243;0
0.101243;0.0212282
0.101243;0
0.101243;0.0212282
0.101243;0.0106141
0.101243;0.0106141
0.101243;0
0.101243;0.0106141
0.101243;0.0106141
0.101243;0
0.101243;0.0106141
0.101243;0.0106141
0.101243;0.0212282
0.101396;0
0.101396;0.0212282
0.101396;0.0106141
0.101396;0.0106141
0.101396;0
0.101396;0.0212282
0.101396;0.0106141
0.101396;0.0212282
0.101396;0.0212282
0.101396;0.0106141
0.101396;0
0.101396;0.0106141
0.101396;0.0106141
0.100936;0
0.100322;0.0106141
0.0998621;0.0106141
0.099402;0.0212282
0.0984816;0.0106141
0.0972544;0.0212282
0.0964874;0.0106141
0.0957204;0
0.0934194;0.0106141
0.0918854;0
0.0886641;0.0106141
0.0862097;0.0106141
0.0829884;0.0106141
0.0748583;0.0212282
0.0713301;0.0106141
0.0607456;0.0212282
0.0529223;0.0106141
0.0460194;0
0.0388097;0.0106141
0.0329806;0
0.0254641;0.0106141
0.0161068;0.0106141
0.00398835;0.0212282
0.0119651;0.0106141
0.00214757;0.0212282
-0.000613592;0
-0.00536893;0
-0.0125786;0.0212282
-0.0170272;0.0106141
-0.0211689;0.0106141
-0.0239301;0
-0.0276117;0.0106141
-0.0305262;0
-0.035435;0.0212282
-0.0374291;0.0106141
-0.0401903;0.0212282
-0.0417243;0
-0.0424913;0.0106141
-0.0432583;0.0106141
-0.0440252;0
-0.0446388;0.0106141
-0.0449456;0.0106141
-0.0454058;0
-0.0457126;0.0106141
-0.045866;0.0106141
-0.0463262;0.0106141
-0.0467864;0.0212282
-0.0470932;0
-0.0475534;0.0106141
-0.0478602;0.0106141
-0.048167;0
-0.048167;0
-0.0484738;0.0212282
-0.049701;0.0212282
-0.0498544;0.0106141
-0.0521553;0.0212282
-0.0526155;0.0106141
-0.0532291;0
-0.0539961;0.0106141
-0.0547631;0
-0.0552233;0.0106141
-0.0556835;0.0106141
-0.0562971;0.0212282
-0.0564505;0.0106141
-0.0573709;0.0212282
-0.0576777;0.0106141
-0.0579845;0.0106141
-0.0581379;0
-0.0587515;0.0106141
-0.0592117;0.0106141
-0.0595185;0.0106141
-0.0599786;0.0106141
-0.0602854;0
-0.060899;0.0106141
-0.061666;0.0212282
-0.0622796;0.0106141
-0.0622796;0.0106141
-0.0622796;0.0106141
-0.0625864;0
-0.0627398;0.0212282
-0.0627398;0.0106141
-0.0627398;0.0212282
-0.0627398;0.0212282
-0.0627398;0.0106141
-0.0627398;0.0106141
-0.0627398;0.0106141
-0.0627398;0.0106141
-0.0627398;0.0106141
-0.0627398;0.0106141
-0.0627398;0.0212282
-0.0627398;0.0106141
-0.0627398;0
-0.0627398;0.0106141
-0.0627398;0.0106141
-0.0628932;0.0318423
-0.0632;0
-0.0635068;0
-0.0641204;0.0212282
-0.0644272;0.0106141
-0.0650408;0.0106141
-0.0651942;0
-0.0658078;0.0106141
-0.0658078;0
-0.0667282;0.0530705
-0.0668816;0
-0.0676486;0.0212282
-0.0681087;0
-0.0690291;0.0212282
-0.0697961;0.0106141
-0.0705631;0.0106141
-0.0716369;0.0212282
-0.0724039;0.0106141
-0.0736311;0.0212282
-0.0740913;0.0106141
-0.0743981;0
-0.0751651;0.0212282
-0.075932;0.0106141
-0.0765456;0.0106141
-0.0773126;0.0106141
-0.0780796;0.0106141
-0.079767;0.0212282
-0.080534;0.0106141
-0.0817612;0.0106141
-0.0829884;0.0106141
-0.0852893;0.0212282
-0.0868233;0.0106141
-0.0875903;0.0106141
-0.0895845;0.0106141
-0.0905049;0.0106141
-0.0931126;0.0212282
-0.0941864;0.0106141
-0.0958738;0.0212282
-0.0964874;0.0106141
-0.0974078;0.0106141
-0.0983282;0
-0.0987884;0
-0.0992486;0.0106141
-0.100016;0.0106141
-0.101243;0.0106141
-0.102317;0.0106141
-0.105078;0.0212282
-0.106612;0.0106141
-0.108606;0.0106141
-0.109373;0
-0.11152;0.0106141
-0.112748;0.0106141
-0.114128;0
-0.115816;0.0106141
-0.11735;0.0106141
-0.120724;0.0212282
-0.121951;0
-0.125173;0.0212282
-0.126707;0.0106141
-0.128241;0.0106141
-0.130082;0.0106141
-0.131769;0.0106141
-0.134837;0.0212282
-0.135757;0.0106141
-0.138672;0.0212282
-0.139746;0.0212282
-0.140513;0
-0.14174;0.0212282
-0.142353;0.0106141
-0.143274;0.0106141
-0.143427;0
-0.144348;0.0106141
-0.145268;0.0212282
-0.146495;0.0106141
-0.147416;0.0318423
-0.148029;0.0106141
-0.148336;0.0106141
-0.148643;0.0106141
-0.14895;0
-0.149256;0.0106141
-0.149717;0.0106141
-0.14987;0.0106141
-0.14987;0
-0.150023;0.0106141
-0.150637;0.0212282
-0.151557;0.0212282
-0.151864;0.0106141
-0.152631;0.0106141
-0.153091;0.0106141
-0.153398;0.0106141
-0.153858;0.0106141
-0.154012;0.0106141
-0.154472;0.0106141
-0.154932;0.0106141
-0.155392;0.0212282
-0.155699;0.0106141
-0.155852;0.0212282
-0.156159;0
-0.156159;0.0106141
-0.156159;0.0106141
-0.156159;0.0106141
-0.156313;0
-0.156313;0.0318423
-0.156313;0
-0.156313;0.0212282
-0.156313;0.0106141
-0.156313;0.0106141
-0.156313;0
-0.156313;0.0106141
-0.156313;0.0106141
-0.156313;0.0106141
-0.156313;0.0212282
-0.156313;0.0212282
-0.156313;0.0106141
-0.156313;0
-0.156313;0.0106141
-0.156313;0.0106141
-0.156313;0.0106141
-0.156619;0.0106141
-0.156773;0.0106141
-0.157233;0.0106141
-0.158;0.0318423
-0.158153;0.0106141
-0.15846;0.0106141
-0.158767;0.0106141
-0.159381;0.0106141
-0.159687;0.0106141
-0.161068;0.0212282
-0.161682;0.0106141
-0.163369;0.0212282
-0.163983;0.0106141
-0.165056;0.0106141
-0.165977;0.0106141
-0.166897;0.0106141
-0.166897;0
-0.168124;0.0212282
-0.169198;0.0212282
-0.169505;0
-0.170272;0.0318423
-0.170579;0.0106141
-0.171039;0.0106141
-0.171192;0.0106141
-0.171346;0.0106141
-0.171499;0.0106141
-0.171806;0.0106141
-0.171959;0.0106141
-0.171959;0.0106141
-0.171959;0.0212282
-0.171959;0.0106141
-0.172113;0.0212282
-0.172113;0.0212282
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0
-0.172113;0.0212282
-0.172113;0.0106141
-0.172113;0
-0.172113;0.0318423
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0318423
-0.172113;0.0106141
-0.172113;0.0212282
-0.172113;0.0106141
-0.172113;0.0212282
-0.172113;0
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0
-0.172113;0.0106141
-0.172113;0.0212282
-0.172113;0.0212282
-0.172113;0
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0212282
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0212282
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0
-0.172113;0.0106141
-0.172113;0.0318423
-0.172113;0.0212282
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0
-0.172113;0.0212282
-0.172113;0.0106141
-0.172113;0.0212282
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0
-0.172113;0.0106141
-0.172113;0
-0.172113;0.0212282
-0.172113;0.0212282
-0.172113;0.0106141
-0.172113;0.0212282
-0.172113;0.0106141
-0.172113;0
-0.172113;0
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0212282
-0.172113;0.0106141
-0.172113;0
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0
-0.172113;0.0318423
-0.172113;0
-0.172113;0.0212282
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0
-0.172113;0.0318423
-0.172113;0.0106141
-0.172113;0.0424564
-0.172113;0.0106141
-0.172113;0
-0.172113;0.0106141
-0.172113;0.0212282
-0.172113;0
-0.172113;0
-0.172113;0.0212282
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0212282
-0.172113;0
-0.172113;0.0212282
-0.172113;0.0212282
-0.172113;0.0106141
-0.172113;0.0212282
-0.172113;0
-0.172113;0
-0.172113;0.0318423
-0.172113;0
-0.172113;0.0212282
-0.172113;0.0212282
-0.172113;0.0212282
-0.172113;0
-0.172113;0.0318423
-0.172113;0
-0.172113;0.0212282
-0.172113;0
-0.172113;0.0212282
-0.172113;0
-0.172113;0
-0.172113;0
-0.172113;0.0530705
-0.172113;0.0106141
-0.172113;0.0212282
-0.172113;0.0106141
-0.172113;0.0212282
-0.172113;0
-0.172113;0
-0.172113;0.0212282
-0.172113;0
-0.172113;0
-0.172113;0
-0.172113;0.0318423
-0.172113;0.0424564
-0.172113;0
-0.172113;0
-0.172113;0.0424564
-0.172113;0
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0
-0.172113;0.0318423
-0.172113;0.0106141
-0.172113;0
-0.172113;0.0212282
-0.172113;0.0212282
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0318423
-0.172113;0.0106141
-0.172113;0
-0.172113;0
-0.172113;0
-0.172113;0
-0.172113;-0.0530705
-0.172113;0
-0.172113;0.0212282
-0.172113;0
-0.172113;0
-0.172113;0
-0.172113;0
-0.172113;0
-0.172113;0
-0.172113;0
-0.172113;0
-0.172113;0
-0.172113;-0.0106141
-0.172113;0
-0.172113;0.0212282
-0.172113;0
-0.172113;0.0530705
-0.172113;0.0318423
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0212282
-0.172113;0
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0
-0.172113;0.0212282
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0
-0.172113;0.0530705
-0.172113;0.0106141
-0.172113;0
-0.172113;0.0318423
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0.0106141
-0.172113;0
-0.171499;0.0212282
-0.170425;0.0212282
-0.169045;0.0106141
-0.165977;0.0212282
-0.164443;0.0106141
-0.161682;0.0212282
-0.159687;0.0106141
-0.15892;0
-0.15708;0.0212282
-0.156159;0.0106141
-0.154932;0.0212282
-0.154318;0.0106141
-0.154318;0
-0.153398;0.0106141
-0.152324;0.0106141
-0.152171;0.0106141
-0.151557;0.0106141
-0.151557;0.0212282
-0.151251;0.0106141
-0.151251;0.0106141
-0.151097;0.0106141
-0.151097;0.0106141
-0.150944;0
-0.150944;0.0106141
-0.150944;0.0318423
-0.150944;0.0106141
-0.150944;0.0212282
-0.150944;0
-0.150944;0.0106141
-0.150944;0.0106141
-0.150023;0.0318423
-0.149717;0.0106141
-0.149256;0.0212282
-0.149103;0
-0.148796;0.0318423
-0.148643;0.0106141
-0.148183;0.0106141
-0.147722;0
-0.146802;0
-0.146342;0.0212282
-0.145268;0.0106141
-0.14266;0.0318423
-0.142047;0
-0.142047;0.0106141
-0.138825;0
-0.136524;0.0318423
-0.135297;0.0212282
-0.13361;0.0106141
-0.132689;0.0106141
-0.127934;0.0318423
-0.127934;0
-0.121338;0.0212282
-0.118117;0.0318423
-0.116276;0.0106141
-0.114435;0
-0.110753;0.0106141
-0.107839;0.0106141
-0.106151;0.0106141
-0.101089;0.0106141
-0.101089;0
-0.0903515;0.0318423
