x;y;t
6.50242e-05;-0.00354605;0.000941697
0.00101071;-0.00602303;0.00124475
0.00193106;-0.00296753;0.000345093
0.00134011;-0.00462556;0.000894365
0.00201554;-0.00699999;0.000901332
0.00269601;-0.00559958;0.00106183
0.00192233;-0.00864143;0.00169623
0.00550084;-0.000517743;0.000249075
0.00304443;-0.00520934;0.000978588
0.00318889;-0.00626239;0.00083653
0.00532947;-0.00648083;0.00101948
0.00961964;-0.0016144;8.94698e-05
0.010394;-0.00230853;-0.000264896
0.0101287;-0.00226866;-0.000274288
0.012179;-0.00584984;0.00021565
0.0111757;-0.00714557;0.000567658
0.0101742;-0.00902401;0.00107464
0.0114316;-0.00803779;0.000823945
0.0108754;-0.00820226;0.000882907
0.0134461;-0.0121594;0.00161611
0.0118587;-0.0108893;0.00095836
0.0128949;-0.00898756;0.000812751
0.0114051;-0.0132319;0.00126696
0.0122473;-0.010261;0.000718891
0.0174276;-0.00698129;0.000489461
0.0174592;-0.00533912;-0.000278706
0.0183575;-0.00747366;8.92634e-05
0.0186671;-0.0109142;0.00062539
0.0183223;-0.0115148;0.000948485
0.0184058;-0.0113576;0.000942179
0.0212781;-0.0131977;0.00100813
0.021852;-0.0139361;0.00114906
0.0236922;-0.0121807;0.000772006
0.022452;-0.0140709;0.00146594
0.0249725;-0.010486;0.00110776
0.0245231;-0.0131394;0.00186669
0.0283997;-0.0132562;0.00256962
0.0368554;-0.0107977;0.002231
0.0369375;-0.0141504;0.00325399
0.0483225;-0.011173;0.00346583
0.0529039;-0.00591947;0.00328136
0.0608016;0.00569696;0.00181001
0.07088;0.00173112;0.00245612
0.0795505;-0.000701138;0.00351911
0.0849594;0.0126556;0.00176749
0.0854612;0.00160613;0.00448054
0.0935265;0.0117126;0.0033484
0.110601;0.0150494;0.00439587
0.138543;0.0158278;0.00586596
0.136791;0.0168395;0.00709141
0.149189;0.0286001;0.00544024
0.159082;0.0365105;0.00484633
0.179954;0.0439055;0.00530578
0.183986;0.0268346;0.00893201
0.195267;0.0229029;0.0114321
0.207564;0.0236867;0.0122452
0.214631;0.0280164;0.0124781
0.224099;0.0245644;0.0136196
0.232356;0.0160216;0.0162944
0.241088;0.0233116;0.0151734
0.251277;0.0294477;0.0143796
0.265084;0.0338389;0.0133584
0.285434;0.0348486;0.0126209
0.280193;0.0191661;0.0147243
0.293268;0.0320258;0.0121222
0.300114;0.0320567;0.0120845
0.299767;0.0302349;0.0124806
0.302258;0.0289749;0.0126156
0.3082;0.0282808;0.0134734
0.320349;0.0321714;0.0133871
0.32599;0.02569;0.0151321
0.323576;0.0265102;0.0148959
0.34089;0.0370473;0.0138809
0.352074;0.0292911;0.0156161
0.357917;0.0338863;0.0158721
0.368145;0.0411148;0.0152048
0.374966;0.0388291;0.0167788
0.391567;0.0411097;0.0174387
0.406337;0.0369669;0.01978
0.411377;0.0472782;0.0190035
0.427518;0.0518153;0.0210725
0.432063;0.0579603;0.0215992
0.460918;0.066659;0.0239712
0.476566;0.0695006;0.0256447
0.480859;0.0686661;0.029104
0.495547;0.0650216;0.0325204
0.50883;0.0701795;0.0337917
0.510995;0.0818515;0.0347989
0.537622;0.0831552;0.037178
0.541117;0.0851539;0.0401031
0.547237;0.0904818;0.0425592
0.572732;0.0986837;0.0493484
0.593275;0.12315;0.0535084
0.606902;0.129127;0.0557529
0.609957;0.126686;0.0605754
0.619439;0.132968;0.0640347
0.63655;0.138281;0.0668019
0.642751;0.148673;0.0681146
0.652047;0.148415;0.072585
0.660399;0.155542;0.0765952
0.685529;0.169746;0.0830216
0.704743;0.191501;0.0878875
0.721782;0.205651;0.0903926
0.723769;0.206955;0.0946137
0.734918;0.212829;0.0983213
0.748162;0.225628;0.101207
0.761372;0.233199;0.104593
0.774369;0.237237;0.10836
0.774958;0.247653;0.111538
0.792157;0.248798;0.121704
0.805382;0.255189;0.125432
0.821632;0.281685;0.130333
0.837988;0.287217;0.134732
0.857897;0.303121;0.1367
0.857729;0.31344;0.139965
0.868894;0.322804;0.143721
0.87715;0.32385;0.149354
0.890632;0.327106;0.155205
0.906269;0.340603;0.157345
0.923459;0.361014;0.164682
0.93106;0.377326;0.166962
0.945903;0.390845;0.175704
0.965973;0.398635;0.179865
0.968688;0.411977;0.183686
0.975887;0.415841;0.188443
0.983125;0.416318;0.194244
0.991087;0.42618;0.198576
1.01691;0.442731;0.207569
1.02569;0.464893;0.214924
1.0358;0.476807;0.219791
1.06085;0.488052;0.223493
1.06793;0.503695;0.225618
1.08076;0.523963;0.227174
1.09178;0.517558;0.235686
1.09452;0.53265;0.23811
1.12133;0.549597;0.247029
1.13324;0.561353;0.251227
1.14703;0.581585;0.260051
1.14976;0.584785;0.26587
1.16786;0.597189;0.268467
1.17428;0.60696;0.272544
1.19005;0.623711;0.276348
1.19445;0.634075;0.279806
1.19992;0.644613;0.284246
1.21199;0.65048;0.289659
1.21801;0.659343;0.293997
1.24135;0.686488;0.302081
1.25707;0.707008;0.304526
1.2693;0.71929;0.315041
1.2755;0.721868;0.321136
1.29239;0.737618;0.324906
1.28682;0.737793;0.331642
1.29719;0.753333;0.335735
1.30303;0.760766;0.339749
1.32823;0.78674;0.348046
1.34703;0.815237;0.355751
1.35209;0.82283;0.360994
1.36172;0.838786;0.36488
1.3743;0.850107;0.369049
1.38681;0.874036;0.371023
1.39365;0.87859;0.376942
1.40248;0.892859;0.380991
1.41218;0.900682;0.385957
1.42598;0.919842;0.388489
1.43674;0.946792;0.396485
1.4562;0.969266;0.405537
1.4687;0.987878;0.408398
1.47209;1.00328;0.411528
1.47355;1.00732;0.417355
1.48492;1.01416;0.422342
1.49222;1.03076;0.425667
1.50315;1.04077;0.429816
1.51089;1.05631;0.432454
1.52212;1.07069;0.441892
1.53603;1.08468;0.446251
1.54539;1.10827;0.452274
1.55669;1.11897;0.455267
1.56044;1.11667;0.461142
1.57959;1.1263;0.46348
1.58698;1.12707;0.467391
1.59895;1.14269;0.467793
1.60653;1.14531;0.470691
1.62061;1.15873;0.472009
1.63334;1.16334;0.471651
1.6519;1.17214;0.471872
1.66533;1.18126;0.470088
1.67649;1.17731;0.471563
1.68583;1.17557;0.472088
1.70754;1.19309;0.467332
1.71554;1.18669;0.468623
1.74199;1.20506;0.46323
1.75149;1.20643;0.461738
1.76327;1.21179;0.458648
1.79103;1.2206;0.452308
1.80362;1.21262;0.450526
1.83284;1.21329;0.445858
1.84709;1.21367;0.442129
1.86334;1.21522;0.439267
1.87034;1.21532;0.436127
1.8838;1.2117;0.434585
1.90639;1.22561;0.426016
1.90889;1.21601;0.426298
1.9271;1.21673;0.423215
1.9463;1.21227;0.421105
1.96385;1.2146;0.417093
1.97571;1.21537;0.412187
2.00509;1.21897;0.403739
2.0125;1.21006;0.402915
2.03468;1.21434;0.397408
2.03724;1.20348;0.397356
2.05338;1.19788;0.395537
2.07399;1.20891;0.387752
2.07618;1.19235;0.388051
2.10503;1.19689;0.37759
2.11918;1.19089;0.376449
2.14796;1.19342;0.366539
2.15759;1.18506;0.365328
2.17148;1.17822;0.363506
2.18413;1.17492;0.359635
2.19527;1.16705;0.357719
2.21571;1.15896;0.354198
2.22503;1.16203;0.348813
2.25555;1.15191;0.342348
2.27527;1.15498;0.335995
2.30003;1.14446;0.328968
2.31276;1.14177;0.324794
2.33527;1.14334;0.318493
2.34458;1.13051;0.31654
2.35789;1.1356;0.309974
2.37393;1.1345;0.305411
2.38556;1.13201;0.300876
2.39662;1.1296;0.296934
2.41584;1.12278;0.293222
2.44398;1.10663;0.286864
2.46314;1.10883;0.281525
2.47248;1.10177;0.2778
2.49448;1.10239;0.271299
2.50039;1.091;0.269156
2.51868;1.08183;0.265664
2.5332;1.07714;0.260799
2.546;1.06712;0.258576
2.5751;1.05237;0.25329
2.59787;1.05339;0.245981
2.59655;1.04024;0.244815
2.60488;1.03439;0.23947
2.63582;1.03636;0.231431
2.64901;1.03062;0.22827
2.66116;1.02853;0.223164
2.68046;1.02467;0.219688
2.68881;1.00647;0.21995
2.71454;1.0136;0.21134
2.71764;0.99915;0.21129
2.73392;1.00257;0.20292
2.75392;0.99224;0.201338
2.77563;0.981098;0.192973
2.795;0.973271;0.189388
2.80678;0.968919;0.184161
2.81057;0.959622;0.181677
2.82902;0.951435;0.176082
2.84498;0.949527;0.17151
2.86008;0.944405;0.166802
2.87538;0.941016;0.161922
2.89276;0.933679;0.157809
2.92069;0.929054;0.147267
2.92938;0.918794;0.143418
2.94766;0.916836;0.13725
2.9644;0.907775;0.133555
2.97542;0.899294;0.129409
2.99107;0.892006;0.123817
3.00913;0.88537;0.118717
3.03231;0.867346;0.110578
3.04833;0.865359;0.10466
3.07881;0.855789;0.0938126
3.08921;0.840445;0.0903464
3.09889;0.832578;0.0856372
3.1193;0.827909;0.0791515
3.13034;0.820399;0.0741189
3.13788;0.819611;0.0674065
3.16267;0.816297;0.0611193
3.16768;0.804677;0.0566667
3.17441;0.788342;0.0541987
3.1919;0.779176;0.0485965
3.20244;0.764027;0.0452776
3.21384;0.760311;0.0399403
3.23508;0.748212;0.0282682
3.23879;0.73711;0.0226736
3.26927;0.731628;0.0161986
3.2769;0.721558;0.0106015
3.28163;0.711266;0.00544104
3.31391;0.695857;-0.00697721
3.32129;0.678345;-0.0100729
3.34306;0.663363;-0.0228113
3.35569;0.657227;-0.0302384
3.36701;0.641295;-0.0339997
3.37257;0.627281;-0.0372703
3.38125;0.617319;-0.0435432
3.39784;0.609037;-0.0499561
3.39422;0.590598;-0.0522866
3.41206;0.583119;-0.0598431
3.4228;0.572465;-0.0660622
3.44127;0.547143;-0.0768573
3.45024;0.53093;-0.0817816
3.46507;0.526202;-0.0881047
3.46048;0.503077;-0.0883359
3.46036;0.491478;-0.0954748
3.4815;0.486153;-0.104034
3.48583;0.467565;-0.108322
3.4951;0.455207;-0.11381
3.50066;0.437222;-0.118396
3.53284;0.418542;-0.132644
3.52795;0.406561;-0.14056
3.5514;0.381411;-0.154256
3.55936;0.368175;-0.161802
3.56205;0.350162;-0.167601
3.56745;0.335069;-0.174158
3.57573;0.319982;-0.181394
3.58816;0.294709;-0.19686
3.59195;0.274584;-0.202668
3.61173;0.249074;-0.2188
3.61697;0.236988;-0.226532
