Steer;Driving
290;4294859756
290;4294859756
290;4294859756
290;4294859756
290;4294859756
290;4294859756
290;4294859756
290;4294859756
290;4294859756
290;4294859756
290;4294859756
290;4294859756
290;4294859756
290;4294859756
290;4294859756
290;4294859756
290;4294859756
290;4294859756
290;4294859756
290;4294859756
290;4294859756
290;4294859756
290;4294859756
290;4294859756
290;4294859756
290;4294859756
290;4294859755
290;4294859755
290;4294859802
290;4294860056
290;4294860268
290;4294860941
290;4294861430
290;4294862199
290;4294862997
290;4294863798
290;4294867212
290;4294869964
290;4294872639
290;4294874997
290;4294876898
290;4294880446
290;4294882613
290;4294883450
290;4294889086
290;4294893421
290;4294897196
290;4294903932
290;4294912193
290;4294916536
290;4294920901
290;4294922088
290;4294933249
290;4294937832
290;4294946648
290;4294952077
290;4294956423
290;4294959605
290;4294962835
290;526
290;4271
290;11621
290;17449
290;20547
290;24160
290;25682
290;29343
296;32173
320;35128
336;38085
346;40339
358;45181
386;50279
398;53969
414;57775
432;62792
448;65815
484;71351
510;74594
546;79234
634;89391
672;93243
790;105683
836;110920
872;115015
914;118938
966;127305
990;131318
1020;138115
1054;142413
1070;147766
1108;158818
1140;171090
1164;175231
1182;180639
1194;185882
1210;189876
1228;195298
1242;200481
1258;205874
1278;216698
1294;225973
1294;225973
1308;238194
1310;242119
1312;246246
1312;246246
1316;260050
1318;264019
1318;272343
1318;280720
1318;290484
1318;296247
1318;303543
1318;310704
1318;314997
1318;321022
1318;325431
1318;329967
1318;340646
1318;348214
1320;362015
1320;368271
1320;371269
1320;380404
1320;386643
1320;391320
1320;403763
1320;416770
1320;424765
1320;431191
1320;436035
1320;440954
1320;450285
1320;454951
1320;466052
1320;470665
1320;484873
1320;491217
1320;499218
1320;502222
1320;511700
1320;518369
1320;519968
1320;526273
1320;535964
1320;550756
1322;552381
1322;565537
1322;573548
1322;580196
1322;581982
1322;593372
1322;601427
1322;612992
1322;624556
1322;632648
1322;635871
1322;644236
1322;651052
1316;655835
1308;664209
1302;669404
1296;679495
1284;689297
1268;704166
1258;709173
1248;714092
1218;723992
1198;728900
1156;737199
