x;y;theta
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
-2.12229e-06;-5.05858e-08;-3.37239e-08
-2.12229e-06;-5.05858e-08;-3.37239e-08
9.76256e-05;2.32702e-06;1.5513e-06
0.000636688;1.5179e-05;1.01172e-05
0.00108661;2.59093e-05;1.72666e-05
0.00251492;5.99944e-05;3.99628e-05
0.00355272;8.47809e-05;5.64537e-05
0.00518476;0.000123795;8.23874e-05
0.00687835;0.000164324;0.000109299
0.0085783;0.000205052;0.000136312
0.0158238;0.000379157;0.000251445
0.0216643;0.000520109;0.000344253
0.0273414;0.000657636;0.000434464
0.0323457;0.000779291;0.000513985
0.0363801;0.000877657;0.000578094
0.0439099;0.00106194;0.000697747
0.0485088;0.00117494;0.000770826
0.0502852;0.00121867;0.000799053
0.0622462;0.00151447;0.000989121
0.0714461;0.00174353;0.00113531
0.0794575;0.00194409;0.00126262
0.0937528;0.00230451;0.00148979
0.111284;0.00275096;0.00176838
0.120501;0.00298763;0.00191484
0.129764;0.00322686;0.00206205
0.132283;0.00329215;0.00210208
0.155969;0.00391099;0.00247847
0.165695;0.00416768;0.00263302
0.184404;0.00466569;0.00293033
0.195925;0.00497513;0.00311342
0.205148;0.00522437;0.00325998
0.2119;0.00540771;0.00336729
0.218755;0.00559456;0.00347622
0.229335;0.00588445;0.00364437
0.237283;0.00610336;0.00377066
0.25288;0.00653591;0.00401853
0.265247;0.00688165;0.00421508
0.271821;0.00706642;0.00431955
0.279488;0.00728277;0.0044414
0.282718;0.00737419;0.00449273
0.290487;0.00759477;0.00461619
0.296492;0.0077689;0.0047136
0.302762;0.00796375;0.00482356
0.309037;0.00816768;0.0049391
0.313819;0.00832755;0.00502979
0.324092;0.00868262;0.00523136
0.334908;0.00908368;0.00546018
0.342736;0.00938325;0.00563095
0.350809;0.00970429;0.00581417
0.361451;0.0101455;0.00606619
0.367863;0.0104211;0.00622366
