x;y;theta;steering_v;driving_v
0.1; 0.2; 0.1; 0.0222314; 0
0.1; 0.2; 0.1; 0.0222314; 0
0.1; 0.2; 0.1; 0.0222314; 0
0.1; 0.2; 0.1; 0.0222314; 0
0.1; 0.2; 0.1; 0.0222314; 0
0.1; 0.2; 0.1; 0.0222314; 0
0.1; 0.2; 0.1; 0.0222314; 0
0.1; 0.2; 0.1; 0.0222314; 0
0.1; 0.2; 0.1; 0.0222314; 0
0.1; 0.2; 0.1; 0.0222314; 0
0.1; 0.2; 0.1; 0.0222314; 0
0.1; 0.2; 0.1; 0.0222314; 0
0.1; 0.2; 0.1; 0.0222314; 0
0.1; 0.2; 0.1; 0.0222314; 0
0.1; 0.2; 0.1; 0.0222314; 0
0.1; 0.2; 0.1; 0.0222314; 0
0.1; 0.2; 0.1; 0.0222314; 0
0.1; 0.2; 0.1; 0.0222314; 0
0.1; 0.2; 0.1; 0.0222314; 0
0.1; 0.2; 0.1; 0.0222314; 0
0.1; 0.2; 0.1; 0.0222314; 0
0.1; 0.2; 0.1; 0.0222314; 0
0.1; 0.2; 0.1; 0.0222314; 0
0.1; 0.2; 0.1; 0.0222314; 0
0.1; 0.2; 0.1; 0.0222314; 0
0.1; 0.2; 0.1; 0.0222314; -2.12282e-06
0.1; 0.2; 0.1; 0.0222314; 0
0.1; 0.2; 0.1; 0.0222314; 9.97725e-05
0.1; 0.2; 0.1; 0.0222314; 0.000539196
0.1; 0.2; 0.100001; 0.0222314; 0.000450038
0.1; 0.2; 0.100002; 0.0222314; 0.00142866
0.1; 0.2; 0.100002; 0.0222314; 0.00103806
0.1; 0.2; 0.100003; 0.0222314; 0.00163245
0.1; 0.2; 0.100004; 0.0222314; 0.00169401
0.1; 0.2; 0.100005; 0.0222314; 0.00170038
0.1; 0.2; 0.100015; 0.0222314; 0.00724731
0.1; 0.2; 0.100022; 0.0222314; 0.005842
0.1; 0.2; 0.100025; 0.0222314; 0.00567854
0.1; 0.2; 0.100028; 0.0222314; 0.00500561
0.1; 0.2; 0.100031; 0.0222314; 0.00403548
0.1; 0.2; 0.100036; 0.0222314; 0.00753177
0.1; 0.2; 0.100038; 0.0222314; 0.00460015
0.1; 0.2; 0.100039; 0.0222314; 0.0017768
0.1; 0.2; 0.100047; 0.0222314; 0.0119642
0.1; 0.2; 0.100053; 0.0222314; 0.00920242
0.1; 0.2; 0.100058; 0.0222314; 0.00801365
