steering;driving
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;0
0.0222427;-2.12282e-06
0.0222427;0
0.0222427;9.97725e-05
0.0222427;0.000539196
0.0222427;0.000450038
0.0222427;0.00142866
0.0222427;0.00103806
0.0222427;0.00163245
0.0222427;0.00169401
0.0222427;0.00170038
0.0222427;0.00724731
0.0222427;0.005842
0.0222427;0.00567854
0.0222427;0.00500561
0.0222427;0.00403548
0.0222427;0.00753177
0.0222427;0.00460015
0.0222427;0.0017768
0.0222427;0.0119642
0.0222427;0.00920242
0.0222427;0.00801365
0.0222427;0.0142993
0.0222427;0.0175366
0.0222427;0.00921941
0.0222427;0.00926611
0.0222427;0.00251979
0.0222427;0.0236928
0.0222427;0.00972888
0.0222427;0.0187148
0.0222427;0.0115248
0.0222427;0.00922578
0.0222427;0.00675481
0.0222427;0.00685671
0.0222427;0.0105844
0.0222427;0.00794996
0.0222427;0.0156027
0.0222427;0.0123718
0.0222427;0.0065765
0.0222427;0.00766975
0.0222427;0.00323093
0.0222427;0.00777164
0.0227029;0.00600758
0.0245437;0.00627293
0.0257709;0.00627718
0.0265379;0.00478484
0.0274583;0.0102787
0.0296058;0.0108221
0.0305262;0.00783321
0.0317534;0.00807945
0.033134;0.0106502
0.0343612;0.00641728
0.0371223;0.0117519
0.0391165;0.00688431
0.0418777;0.00984988
0.0486272;0.0215615
0.0515418;0.0081771
0.0605922;0.0264079
0.0641204;0.0111172
0.0668816;0.00869295
0.0701029;0.00832782
0.0740913;0.0177616
0.075932;0.00851888
0.078233;0.0144288
0.0808408;0.00912388
0.082068;0.0113635
0.0849825;0.0234614
0.0874369;0.0260512
0.0892777;0.0087906
0.0906583;0.0114802
0.0915787;0.0111299
0.0928058;0.00847854
0.0941864;0.0115099
0.0952602;0.0110026
0.0964874;0.0114484
0.0980214;0.0229774
0.0992486;0.0196892
0.0992486;0
0.100322;0.025943
0.100476;0.00833207
0.100629;0.00876088
0.100629;0
0.100936;0.0293034
0.101089;0.00842547
0.101089;0.0176704
0.101089;0.0177829
0.101089;0.0207272
0.101089;0.0122338
0.101089;0.0154881
0.101089;0.0152015
0.101089;0.00911327
0.101089;0.01279
0.101089;0.00935951
0.101089;0.00962911
0.101089;0.0226696
0.101089;0.0160655
0.101243;0.029297
0.101243;0.0132804
0.101243;0.00636421
0.101243;0.019392
0.101243;0.0132443
0.101243;0.00992843
0.101243;0.0264142
0.101243;0.0276115
0.101243;0.0169719
0.101243;0.0136412
0.101243;0.0102829
0.101243;0.0104422
0.101243;0.019808
0.101243;0.00990508
0.101243;0.0235654
0.101243;0.00979257
0.101243;0.030161
0.101243;0.0134672
0.101243;0.0169847
0.101243;0.00637695
0.101243;0.0201201
0.101243;0.0141571
0.101243;0.00339439
0.101243;0.0133844
0.101243;0.0205722
0.101243;0.0314008
0.101396;0.00344958
0.101396;0.0279278
0.101396;0.0170059
0.101396;0.0141125
0.101396;0.00379136
0.101396;0.0241789
0.101396;0.0170993
0.101396;0.0245504
0.101396;0.0245483
0.101396;0.0171779
0.101396;0.00684185
0.101396;0.0177574
0.101396;0.0144691
0.100936;0.0101534
0.100322;0.0177765
0.0998621;0.011028
0.099402;0.0214214
0.0984816;0.0208079
0.0972544;0.0315642
0.0964874;0.010629
0.0957204;0.0104422
0.0934194;0.0210159
0.0918854;0.0104188
0.0886641;0.0176173
0.0862097;0.011408
0.0829884;0.0136901
0.0748583;0.0282017
0.0713301;0.0136688
0.0607456;0.0234572
0.0529223;0.0166981
0.0460194;0.0104146
0.0388097;0.016628
0.0329806;0.0100006
0.0254641;0.0134481
0.0161068;0.0132528
0.00398835;0.026393
0.62433;0.0166705
0.614513;0.023143
0.611752;0.00720273
0.606996;0.00647885
0.599786;0.0266775
0.595338;0.0132931
0.591196;0.013516
0.588435;0.00668688
0.584753;0.0200352
0.581839;0.0100367
0.57693;0.0266966
0.574936;0.0106672
0.572175;0.0269025
0.570641;0.0101067
0.569874;0.0168552
0.569107;0.0168361
0.56834;0.00656588
0.567726;0.0171991
0.567419;0.0173371
0.566959;0.0104294
0.566653;0.0135839
0.566499;0.0139915
0.566039;0.0140361
0.565579;0.0281274
0.565272;0.0100643
0.564812;0.0172776
0.564505;0.0135818
0.564198;0.00686732
0.564198;0.00697559
0.563891;0.0271657
0.562664;0.0241258
0.562511;0.0145392
0.56021;0.0249898
0.55975;0.0174602
0.559136;0.0104443
0.558369;0.0170696
0.557602;0.0104188
0.557142;0.013792
0.556682;0.0173732
0.556068;0.0280106
0.555915;0.0107309
0.554994;0.0317807
0.554687;0.0114462
0.554381;0.0173434
0.554227;0.010474
0.553614;0.0109346
0.553153;0.0148512
0.552847;0.0143503
0.552386;0.0190183
0.55208;0.0105228
0.551466;0.0185577
0.550699;0.0252276
0.550086;0.0148682
0.550086;0.0149638
0.550086;0.0141019
0.549779;0.00752752
0.549625;0.0218799
0.549625;0.0152546
0.549625;0.0214617
0.549625;0.0225953
0.549625;0.0140361
0.549625;0.0112403
0.549625;0.0112361
0.549625;0.0184346
0.549625;0.0150126
0.549625;0.0110047
0.549625;0.021882
0.549625;0.015106
0.549625;0.00364913
0.549625;0.0106396
0.549625;0.0147027
0.549472;0.0364233
0.549165;0.0104613
0.548858;0.00793722
0.548245;0.0261553
0.547938;0.0150338
0.547324;0.0108837
0.547171;0.00322456
0.546557;0.014588
0.546557;0
0.545637;0.0542593
0.545484;0
0.544717;0.028968
0.544256;0.0077398
0.543336;0.0215318
0.542569;0.0188613
0.541802;0.0108434
0.540728;0.0252382
0.539961;0.0181989
0.538734;0.0258347
0.538274;0.0144734
0.537967;0.00733434
0.5372;0.0218374
0.536433;0.0179951
0.535819;0.0108497
0.535052;0.0113613
0.534286;0.0138535
0.532598;0.02157
0.531831;0.0107606
0.530604;0.014588
0.529377;0.0138429
0.527076;0.0286368
0.525542;0.0147324
0.524775;0.0110153
0.522781;0.0179548
0.52186;0.0145201
0.519252;0.0294032
0.518179;0.0141719
0.516491;0.0249262
0.515878;0.0178848
0.514957;0.0141953
0.514037;0.0102808
0.513577;0.0102341
0.513117;0.0137346
0.51235;0.0140361
0.511122;0.0177871
0.510049;0.0111554
0.507287;0.0282059
0.505753;0.0132973
0.503759;0.0138578
0.502992;0.0101619
0.500845;0.0173625
0.499618;0.0134523
0.498237;0.0070329
0.49655;0.0172203
0.495016;0.0135075
0.491641;0.0317701
0.490414;0.00735345
0.487192;0.0277686
0.485658;0.0181289
0.484124;0.0183985
0.482284;0.0108561
0.480596;0.0150826
0.477528;0.028985
0.476608;0.0147281
0.473693;0.0225826
0.472619;0.0218757
0.471852;0.00723032
0.470625;0.021812
0.470012;0.0151633
0.469091;0.01082
0.468938;0.00681638
0.468018;0.018097
0.467097;0.0223788
0.46587;0.0182626
0.46495;0.0366632
0.464336;0.0149171
0.464029;0.0111108
0.463722;0.0188825
0.463416;0.0101768
0.463109;0.0149468
0.462649;0.0176597
0.462495;0.015244
0.462495;0.0100855
0.462342;0.01445
0.461728;0.0293246
0.460808;0.025822
0.460501;0.0114823
0.459734;0.0177404
0.459274;0.0179463
0.458967;0.0107776
0.458507;0.0145604
0.458353;0.0140106
0.457893;0.0108561
0.457433;0.0177468
0.456973;0.0256331
0.456666;0.0146835
0.456513;0.0213704
0.456206;0.00684397
0.456206;0.0185577
0.456206;0.010786
0.456206;0.0146814
0.456052;0.0105356
0.456052;0.0366399
0.456052;0.0105271
0.456052;0.0291633
0.456052;0.0140488
0.456052;0.0178529
0.456052;0.00755724
0.456052;0.0180461
0.456052;0.0107202
0.456052;0.0179675
0.456052;0.0290954
0.456052;0.025546
0.456052;0.0183051
0.456052;0.00767187
0.456052;0.0185386
0.456052;0.0112382
0.456052;0.014951
0.455746;0.0183857
0.455592;0.0144861
0.455132;0.0111406
0.454365;0.0328782
0.454212;0.0111724
0.453905;0.0144097
0.453598;0.01445
0.452985;0.0185598
0.452678;0.0118857
0.451297;0.0261128
0.450684;0.0183093
0.448996;0.0214362
0.448383;0.0150062
0.447309;0.0180546
0.446388;0.0178317
0.445468;0.0147133
0.445468;0
0.444241;0.0254356
0.443167;0.0294095
0.44286;0.00718787
0.442093;0.0326766
0.441786;0.0188315
0.441326;0.0107478
0.441173;0.0186426
0.441019;0.0142293
0.440866;0.0115184
0.440559;0.0178062
0.440406;0.0109325
0.440406;0.0142866
0.440406;0.0289277
0.440406;0.0143481
0.440252;0.0255672
0.440252;0.02845
0.440252;0.0147685
0.440252;0.0142823
0.440252;0.0146092
0.440252;0.0178105
0.440252;0.00367672
0.440252;0.0257265
0.440252;0.0107924
0.440252;0.00375527
0.440252;0.0359776
0.440252;0.0174156
0.440252;0.014467
0.440252;0.013983
0.440252;0.0110472
0.440252;0.0107351
0.440252;0.0329122
0.440252;0.0155051
0.440252;0.0250174
0.440252;0.0143609
0.440252;0.0214511
0.440252;0.0105907
0.440252;0.0107733
0.440252;0.0138005
0.440252;0.0102957
0.440252;0.0108773
0.440252;0.0246311
0.440252;0.0276519
0.440252;0.00746171
0.440252;0.0174411
0.440252;0.0140403
0.440252;0.0139406
0.440252;0.0108561
0.440252;0.0182287
0.440252;0.014743
0.440252;0.0259281
0.440252;0.0138939
0.440252;0.014847
0.440252;0.0252446
0.440252;0.0181246
0.440252;0.0107691
0.440252;0.0182202
0.440252;0.0140679
0.440252;0.0106502
0.440252;0.00732585
0.440252;0.0143672
0.440252;0.0399706
0.440252;0.0252637
0.440252;0.018494
0.440252;0.0111448
0.440252;0.0107669
0.440252;0.0177935
0.440252;0.0101853
0.440252;0.0286963
0.440252;0.0144182
0.440252;0.0282781
0.440252;0.0188209
0.440252;0.0110153
0.440252;0.0188315
0.440252;0.0103572
0.440252;0.0178444
0.440252;0.00329037
0.440252;0.0214405
0.440252;0.0275691
0.440252;0.0141083
0.440252;0.0248412
0.440252;0.0176343
0.440252;0.0104528
0.440252;0.0103827
0.440252;0.0173541
0.440252;0.0178635
0.440252;0.0107393
0.440252;0.029382
0.440252;0.0181459
0.440252;0.00734496
0.440252;0.0143694
0.440252;0.0182244
0.440252;0.011287
0.440252;0.00761243
0.440252;0.0366123
0.440252;0.0074702
0.440252;0.0298193
0.440252;0.018339
0.440252;0.0184728
0.440252;0.0146411
0.440252;0.0148619
0.440252;0
0.440252;0.0336149
0.440252;0.0115906
0.440252;0.04518
0.440252;0.0114038
0.440252;0.00771645
0.440252;0.0108158
0.440252;0.0269577
0.440252;0.0105907
0.440252;0.00735345
0.440252;0.026928
0.440252;0.0197528
0.440252;0.0119154
0.440252;0.0152801
0.440252;0.0149807
0.440252;0.0145265
0.440252;0.0228691
0.440252;0
0.440252;0.0265331
0.440252;0.0296409
0.440252;0.0190608
0.440252;0.0264546
0.440252;0
0.440252;0.00359181
0.440252;0.0417155
0.440252;0
0.440252;0.0306259
0.440252;0.0229965
0.440252;0.022746
0.440252;0
0.440252;0.0374274
0.440252;0.00786717
0.440252;0.025701
0.440252;0.00767612
0.440252;0.0264185
0.440252;0.00747657
0.440252;0
0.440252;0
0.440252;0.0559703
0.440252;0.0106311
0.440252;0.0293968
0.440252;0.0150572
0.440252;0.0218735
0.440252;0
0.440252;0
0.440252;0.028501
0.440252;0
0.440252;0
0.440252;0
0.440252;0.0385823
0.440252;0.0493067
0.440252;0
0.440252;0
0.440252;0.0464346
0.440252;0.00690978
0.440252;0.0173137
0.440252;0.0143481
0.440252;0.0173222
0.440252;0.0171864
0.440252;0.0101895
0.440252;0.0362408
0.440252;0.0141719
0.440252;0
0.440252;0.0289447
0.440252;0.0215997
0.440252;0.0139639
0.440252;0.014397
0.440252;0.0328061
0.440252;0.0108073
0.440252;0
0.440252;0
0.440252;0
0.440252;0
0.440252;-0.0565286
0.440252;0
0.440252;0.0287876
0.440252;0.00693101
0.440252;0
0.440252;0
0.440252;0.0105016
0.440252;0
0.440252;0
0.440252;0
0.440252;0
0.440252;0
0.440252;-0.0131954
0.440252;0
0.440252;0.0244931
0.440252;0
0.440252;0.0534526
0.440252;0.0323072
0.440252;0.0179187
0.440252;0.0152312
0.440252;0.0113847
0.440252;0.0106183
0.440252;0.0106226
0.440252;0.0177892
0.440252;0.0140064
0.440252;0.0139045
0.440252;0.0178296
0.440252;0.0250769
0.440252;0.0066699
0.440252;0.0184452
0.440252;0.021069
0.440252;0.0146963
0.440252;0.0077207
0.440252;0.0218332
0.440252;0.0151102
0.440252;0.0112488
0.440252;0.0111873
0.440252;0
0.440252;0.0606065
0.440252;0.0147239
0.440252;0
0.440252;0.0336892
0.440252;0.0117498
0.440252;0.0184091
0.440252;0.0147918
0.440252;0.0143014
0.440252;0.0110026
0.440252;0.0149086
0.440252;0.019237
0.440252;0.0180716
0.440252;0.00735982
0.440866;0.0256012
0.44194;0.0221092
0.44332;0.0149489
0.446388;0.0219563
0.447922;0.0178932
0.450684;0.0222641
0.452678;0.014104
0.453445;0.00735557
0.455285;0.0256352
0.456206;0.0110769
0.457433;0.0231578
0.458047;0.0141762
0.458047;0.00386566
0.458967;0.0177489
0.460041;0.0178211
0.460194;0.0143927
0.460808;0.0211985
0.460808;0.0214553
0.461115;0.0142165
0.461115;0.0109198
0.461268;0.0182732
0.461268;0.0107351
0.461421;0.00768249
0.461421;0.0144373
0.461421;0.0331797
0.461421;0.0184813
0.461421;0.0295581
0.461421;0.00753813
0.461421;0.0109792
0.461421;0.0109516
0.462342;0.0365316
0.462649;0.0185046
0.463109;0.0223002
0.463262;0
0.463569;0.0363639
0.463722;0.0144628
0.464183;0.018528
0.464643;0.00396543
0.465563;0.00705413
0.466023;0.0298744
0.467097;0.0111491
0.469705;0.033842
0.470319;0.00769735
0.470319;0.0146284
0.47354;0
0.475841;0.0370071
0.477068;0.0218077
0.478755;0.0107882
0.479676;0.0185513
0.484431;0.0337528
0.484431;0
0.491027;0.022279
0.494249;0.0362726
0.496089;0.0109049
0.49793;0.0104061
0.501612;0.0182223
0.504526;0.0140849
0.506214;0.0179803
0.511276;0.0111469
0.511276;0
0.522014;0.0392064
0.532445;0.0321268
0.53766;0.0145031
0.541955;0.0106056
0.547018;0.0111193
0.557602;0.0175685
