x;y;theta
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
-2.12229e-06;3.5786e-14;-3.37239e-08
-2.12229e-06;3.5786e-14;-3.37239e-08
9.76256e-05;7.57231e-11;1.5513e-06
0.000636688;3.22074e-09;1.01172e-05
0.00108661;9.38108e-09;1.72666e-05
0.00251492;5.02516e-08;3.99628e-05
0.00355272;1.00282e-07;5.64537e-05
0.00518477;2.1358e-07;8.23874e-05
0.00687836;3.75899e-07;0.000109299
0.00857832;5.84663e-07;0.000136312
0.0158238;1.98941e-06;0.000251445
0.0216644;3.72902e-06;0.000344253
0.0273415;5.93946e-06;0.000434464
0.0323459;8.31266e-06;0.000513985
0.0363804;1.05156e-05;0.000578094
0.0439103;1.53191e-05;0.000697747
0.0485093;1.86961e-05;0.000770826
0.0502857;2.00905e-05;0.000799053
0.0622469;3.07849e-05;0.000989121
0.071447;4.05574e-05;0.00113531
0.0794587;5.01631e-05;0.00126262
0.0937545;6.9837e-05;0.00148979
0.111287;9.83985e-05;0.00176838
0.120504;0.000115373;0.00191484
0.129768;0.000133793;0.00206205
0.132287;0.000139038;0.00210208
0.155974;0.000193288;0.00247847
0.1657;0.000218146;0.00263302
0.18441;0.000270192;0.00293033
0.195932;0.00030501;0.00311342
0.205156;0.000334402;0.00325998
0.211909;0.00035678;0.00336729
0.218764;0.000380236;0.00347622
0.229345;0.00041791;0.00364437
0.237293;0.000447377;0.00377066
0.252892;0.000508128;0.00401853
0.265261;0.000559048;0.00421508
0.271835;0.000587105;0.00431955
0.279503;0.000620694;0.0044414
0.282733;0.000635123;0.00449273
0.290503;0.000670509;0.00461619
0.296509;0.000698527;0.0047136
0.30278;0.000728431;0.00482356
0.309055;0.000759061;0.0049391
0.313838;0.000782903;0.00502979
0.324113;0.000835618;0.00523136
0.33493;0.000893445;0.00546018
0.342759;0.000936864;0.00563095
0.350835;0.000983076;0.00581417
0.361479;0.0010463;0.00606619
